"total_incidentslog1p","percentlowgradeslog1p","percentacadnotimptlog1p","school_size","urban","crime_live_recode","crime_area_recode","school_type","visitor_badge","control_building","control_ground","require_check","random_check","lock_inside","close_lunch","random_sweep","drug_testing","wear_uniform","dress_code","school_lockers","book_bags","panic_button","emergency_notif","anonymous_report","student_id","staff_id","security_camera","radio","prohibit_phone","open_house","parent_teacher_conf","disciplinary_process","parent_training_assist","parenthelp_drug","socialshelp_drug","juvhelp_drug","lawhelp_drug","mhhelp_drug","civichelp_drug","privatehelp_drug","relighelp_drug","prevention_curriculum","sel","behav_mod","mentoring","peer_mediation","student_court","restorative_circles","promote_community"
1.79175946922805,3.04452243772342,3.93182563272433,2,0,1,1,"Middle_Combined",1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,2,2,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1
1.09861228866811,3.04452243772342,3.25809653802148,3,1,1,1,"Elementary",1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
2.19722457733622,1.6094379124341,1.79175946922805,3,1,1,1,"Middle_Combined",1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,4,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.94443897916644,1.79175946922805,3.25809653802148,3,0,1,1,"Middle_Combined",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,3,2,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1
2.19722457733622,4.24849524204936,4.11087386417331,2,1,2,1,"High",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,4,3,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
2.39789527279837,2.19722457733622,2.39789527279837,2,0,2,2,"Middle_Combined",1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
4.8283137373023,4.45434729625351,3.89182029811063,2,1,2,2,"Elementary",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1
2.56494935746154,3.93182563272433,2.484906649788,3,1,2,1,"High",1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3.66356164612965,2.39789527279837,2.39789527279837,4,1,1,1,"High",1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,3,3,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1
2.39789527279837,0,3.25809653802148,3,0,1,1,"High",1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1
1.09861228866811,2.19722457733622,1.79175946922805,2,1,1,1,"Middle_Combined",1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,3,5,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1
1.94591014905531,3.76120011569356,3.04452243772342,2,0,2,2,"High",1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1
1.09861228866811,4.33073334028633,3.93182563272433,1,0,1,1,"Middle_Combined",1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1
0,4.39444915467244,4.11087386417331,1,0,1,1,"Middle_Combined",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
0,3.25809653802148,3.93182563272433,2,1,1,1,"Middle_Combined",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,4,4,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
0,3.71357206670431,3.43398720448515,1,0,1,1,"Middle_Combined",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
2.07944154167984,2.39789527279837,3.04452243772342,3,0,1,1,"Middle_Combined",1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,4,3,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1
2.99573227355399,3.04452243772342,3.71357206670431,3,1,1,1,"High",1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
2.94443897916644,4.18965474202643,4.26267987704132,1,1,1,1,"High",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1
1.6094379124341,4.39444915467244,4.51085950651685,1,1,2,2,"High",1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
0,2.77258872223978,3.25809653802148,3,1,3,3,"Middle_Combined",1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.88887795833288,4.33073334028633,4.18965474202643,3,0,2,2,"Elementary",1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,3,3,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1
0,3.93182563272433,4.45434729625351,1,1,2,2,"High",0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1.38629436111989,2.39789527279837,4.38202663467388,1,1,3,3,"Middle_Combined",1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,2,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0
1.09861228866811,1.6094379124341,3.25809653802148,1,1,2,2,"Middle_Combined",0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,4,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1
3.71357206670431,3.25809653802148,3.25809653802148,4,1,1,1,"High",1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,3,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.30258509299405,2.77258872223978,3.93182563272433,4,1,2,2,"Middle_Combined",1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,4,4,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1
1.79175946922805,3.25809653802148,4.33073334028633,1,1,2,2,"High",1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1
3.8286413964891,2.39789527279837,2.39789527279837,4,0,1,1,"High",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,4,5,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
2.83321334405622,3.04452243772342,3.04452243772342,3,0,2,2,"Middle_Combined",1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1.09861228866811,0,3.25809653802148,1,1,2,2,"High",0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1
1.6094379124341,0,1.79175946922805,3,1,1,1,"Elementary",1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4.66343909411207,4.39444915467244,4.39444915467244,1,1,3,3,"High",1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
0.693147180559945,1.79175946922805,2.77258872223978,2,1,2,2,"Elementary",0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,4,4,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1
3.25809653802148,1.79175946922805,3.58351893845611,4,0,1,1,"High",1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
2.70805020110221,2.39789527279837,3.93182563272433,3,1,1,1,"Middle_Combined",1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,2,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
2.89037175789616,1.79175946922805,3.93182563272433,2,0,2,1,"Middle_Combined",1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,2,2,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1
0,1.09861228866811,1.79175946922805,2,1,1,1,"Elementary",1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,4,4,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
2.30258509299405,1.6094379124341,3.25809653802148,3,1,1,1,"Middle_Combined",1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,3,4,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1
3.52636052461616,3.43398720448515,3.71357206670431,3,1,2,2,"Middle_Combined",1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,3,3,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1
3.04452243772342,3.71357206670431,4.51085950651685,3,1,2,2,"Elementary",1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,4,4,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1
2.19722457733622,2.39789527279837,3.04452243772342,2,1,2,2,"Elementary",1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
3.04452243772342,3.04452243772342,0,4,1,2,2,"High",1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,4,5,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
4.07753744390572,2.77258872223978,3.04452243772342,4,1,1,1,"High",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,5,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1
4.11087386417331,2.39789527279837,2.39789527279837,4,1,1,1,"Middle_Combined",1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3,2,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1
1.6094379124341,4.33073334028633,3.93182563272433,1,0,3,3,"High",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,2,2,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0
3.43398720448515,3.71357206670431,2.77258872223978,4,1,2,1,"High",1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,3,4,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1
3.80666248977032,2.77258872223978,2.83321334405622,4,1,1,1,"High",1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,3,3,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1
3.61091791264422,4.24849524204936,3.04452243772342,4,1,3,3,"Elementary",1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,4,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2.99573227355399,2.77258872223978,4.18965474202643,1,0,1,1,"Middle_Combined",1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1
3.73766961828337,3.43398720448515,4.26267987704132,3,1,2,1,"High",0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,2,2,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0
4.36944785246702,2.77258872223978,2.39789527279837,4,1,1,1,"Middle_Combined",1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,3,2,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
4.17438726989564,3.04452243772342,3.58351893845611,4,1,2,1,"Middle_Combined",1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,3,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0
